over_bucket,wickets_bucket,run_pressure_bucket,elo_diff_bucket,sample_size,batting_team_wins,win_probability,standard_error,ci_lower_95,ci_upper_95
4-6,0-1,very_low,strong_disadvantage,36,34,0.9444,0.038191,0.8695,1.0
4-6,2-3,first_innings,moderate_advantage,214,73,0.3411,0.032407,0.2776,0.4046
4-6,2-3,first_innings,moderate_disadvantage,229,89,0.3886,0.03221,0.3255,0.4517
4-6,2-3,first_innings,neutral,286,91,0.3182,0.027542,0.2642,0.3722
4-6,2-3,first_innings,strong_advantage,100,41,0.41,0.049183,0.3136,0.5064
4-6,2-3,first_innings,strong_disadvantage,121,47,0.3884,0.044308,0.3016,0.4752
4-6,2-3,high,moderate_advantage,70,12,0.1714,0.045043,0.0831,0.2597
4-6,2-3,high,moderate_disadvantage,88,29,0.3295,0.050106,0.2313,0.4277
4-6,2-3,high,neutral,143,45,0.3147,0.038835,0.2386,0.3908
4-6,2-3,high,strong_advantage,55,18,0.3273,0.063271,0.2033,0.4513
4-6,2-3,high,strong_disadvantage,61,8,0.1311,0.043214,0.0464,0.2158
4-6,2-3,low,moderate_advantage,26,19,0.7308,0.086986,0.5603,0.9013
4-6,2-3,low,moderate_disadvantage,39,21,0.5385,0.079826,0.382,0.695
4-6,2-3,low,neutral,45,34,0.7556,0.06406,0.63,0.8812
4-6,2-3,low,strong_advantage,13,8,0.6154,0.134931,0.3509,0.8799
4-6,2-3,low,strong_disadvantage,17,11,0.6471,0.115901,0.4199,0.8743
